Posicao,Nome,Total_Proposicoes,Total_Autorias,Tipos_Proposicoes
112,Enfermeira Rejane,23,23,"PEC, PL"
113,Prof. Reginaldo Veras,23,23,"PEC, PL"
114,Erika Kokay,23,23,"PEC, PL, PLP"
115,Renilce Nicodemos,23,23,"PEC, PL"
116,Marangoni,23,23,"PEC, PL, PLP, PRC"
117,Alceu Moreira,23,23,"PEC, PL, PLP"
118,Flávia Morais,23,23,"PEC, PL, PLP"
119,Alfredo Gaspar,23,23,"PEC, PL, PRC"
120,Junio Amaral,23,23,"PEC, PL, PLP"
121,André Fernandes,23,23,"PEC, PL, PRC"
122,Eduardo Velloso,22,22,"PEC, PL"
123,Fabio Schiochet,22,22,"PEC, PL"
124,Mario Frias,22,22,"PEC, PL, PLP"
125,Sâmia Bomfim,22,22,"PEC, PL, PLP, PRC"
126,Coronel Fernanda,22,22,"PEC, PL, PLP"
127,Maria do Rosário,22,22,"PEC, PL, PLP"
128,Caroline de Toni,22,22,"PEC, PL, PLP, PRC"
129,Delegado Fabio Costa,22,22,"PEC, PL"
130,Alexandre Guimarães,21,21,"PEC, PL, PLP"
131,Coronel Chrisóstomo,21,21,"PEC, PL"
132,Benes Leocádio,21,21,"PEC, PL"
133,Thiago Flores,21,21,"PEC, PL, PLP"
134,Any Ortiz,21,21,"PEC, PL, PLP"
135,Ana Paula Lima,21,21,"PEC, PL, PLP"
136,Allan Garcês,21,21,"PEC, PL"
137,Dimas Gadelha,21,21,"PEC, PL"
138,Silvia Waiãpi,21,21,"PEC, PL, PLP"
139,Alex Manente,21,21,"PEC, PL"
140,Rafael Prudente,21,21,"PEC, PL"
141,Fábio Teruel,21,21,"PEC, PL"
142,Vicentinho Júnior,20,20,"PEC, PL, PRC"
143,Julio Cesar Ribeiro,20,20,"PEC, PL"
144,Padovani,20,20,"PEC, PL, PRC"
145,David Soares,20,20,"PEC, PL, PRC"
146,Antonio Carlos Rodrigues,20,20,"PEC, PL, PLP"
147,Silas Câmara,20,20,"PEC, PL"
148,Lucas Redecker,20,20,"PEC, PL, PLP"
149,Fernanda Pessoa,20,20,"PEC, PL, PRC"
150,Da Vitoria,20,20,"PEC, PL, PLP"
151,Joaquim Passarinho,20,20,"PEC, PL, PRC"
152,Reinhold Stephanes,20,20,"PEC, PL"
153,Zé Neto,20,20,"PEC, PL"
154,Mauricio do Vôlei,20,20,"PEC, PL, PLP"
155,Juninho do Pneu,20,20,"PEC, PL"
156,Domingos Neto,20,20,"PEC, PL, PLP"
157,Guilherme Boulos,20,20,"PEC, PL, PLP, PRC"
158,Delegada Ione,20,20,"PEC, PL"
159,Cleber Verde,20,20,"PEC, PL"
160,Franciane Bayer,20,20,"PEC, PL, PLP"
161,José Airton Félix Cirilo,19,19,"PEC, PL, PRC"
162,Greyce Elias,19,19,"PEC, PL"
163,Rosana Valle,19,19,"PEC, PL, PLP"
164,Merlong Solano,19,19,"PEC, PL"
165,Fausto Pinato,19,19,"PEC, PL, PLP"
166,Tarcísio Motta,19,19,"PEC, PL, PRC"
167,Rosângela Reis,19,19,"PEC, PL, PLP"
168,Pastor Sargento Isidório,19,19,"PEC, PL"
169,Marcelo Álvaro Antônio,19,19,"PEC, PL"
170,Pr. Marco Feliciano,19,19,"PEC, PL"
171,Ely Santos,19,19,"PEC, PL"
172,Helder Salomão,19,19,"PEC, PL, PLP"
173,Clarissa Tércio,19,19,"PEC, PL"
174,Aluisio Mendes,19,19,"PEC, PL, PLP"
175,Delegado Marcelo Freitas,19,19,"PEC, PL, PRC"
176,Juliana Cardoso,18,18,"PEC, PL, PLP"
177,Yury do Paredão,18,18,"PEC, PL"
178,Vermelho,18,18,"PEC, PL"
179,Socorro Neri,18,18,"PEC, PL, PLP, PRC"
180,Daniel Agrobom,18,18,"PEC, PL"
181,Ronaldo Nogueira,18,18,"PEC, PL, PLP"
182,Delegado Ramagem,18,18,"PEC, PL"
183,Dr. Ismael Alexandrino,18,18,"PEC, PL"
184,Filipe Martins,18,18,"PEC, PL"
185,Gilberto Abramo,18,18,"PEC, PL, PRC"
186,Mário Heringer,18,18,"PEC, PL, PRC"
187,Júnior Mano,17,17,"PEC, PL, PRC"
188,Antônia Lúcia,17,17,"PEC, PL, PRC"
189,Dandara,17,17,"PEC, PL, PLP"
190,Luisa Canziani,17,17,"PEC, PL, PLP"
191,Pedro Paulo,17,17,"PEC, PL"
192,Enfermeira Ana Paula,17,17,"PEC, PL"
193,Tião Medeiros,17,17,"PEC, PL, PLP"
194,Pedro Campos,17,17,"PEC, PL, PRC"
195,Fernando Rodolfo,17,17,"PEC, PL"
196,Dagoberto Nogueira,17,17,"PEC, PL"
197,Augusto Puppio,17,17,"PEC, PL, PRC"
198,Zé Vitor,17,17,"PEC, PL, PLP"
199,Dr. Jaziel,17,17,"PEC, PL, PLP"
200,Padre João,17,17,"PEC, PL, PLP, PRC"
201,Nikolas Ferreira,16,16,"PEC, PL"
202,Saulo Pedroso,16,16,"PEC, PL"
203,Otoni de Paula,16,16,"PEC, PL"
204,Adail Filho,16,16,"PEC, PL, PLP"
205,Heitor Schuch,16,16,"PEC, PL, PLP, PRC"
206,Márcio Marinho,16,16,"PEC, PL"
207,Lula da Fonte,16,16,"PEC, PL"
208,Flávio Nogueira,16,16,"PEC, PL, PLP"
209,Alex Santana,16,16,"PEC, PL, PLP, PRC"
210,Roberto Monteiro Pai,16,16,"PEC, PL"
211,Lindbergh Farias,16,16,"PEC, PL"
212,Lafayette de Andrada,16,16,"PEC, PL"
213,Toninho Wandscheer,16,16,"PEC, PL, PLP"
214,Bebeto,16,16,"PEC, PL"
215,Diego Garcia,16,16,"PEC, PL"
216,Beto Richa,16,16,"PEC, PL, PLP"
217,Charles Fernandes,15,15,"PEC, PL, PLP"
218,Eros Biondini,15,15,"PEC, PL, PLP"
219,Luiz Gastão,15,15,"PEC, PL, PLP, PRC"
220,Pedro Westphalen,15,15,"PEC, PL"
221,Geraldo Resende,15,15,"PEC, PL, PLP, PRC"
222,Hugo Leal,15,15,"PEC, PL, PLP"
223,Ivan Valente,15,15,"PEC, PL, PRC"
224,Jefferson Campos,15,15,"PEC, PL"
225,Célio Silveira,15,15,"PEC, PL"
226,Benedita da Silva,15,15,"PEC, PL, PLP"
227,José Nelto,15,15,"PEC, PL"
228,Bandeira de Mello,15,15,"PEC, PL, PRC"
229,Bacelar,15,15,"PEC, PL, PLP"
230,Alfredinho,15,15,"PEC, PL"
231,Lincoln Portela,15,15,"PEC, PL"
232,Alexandre Lindenmeyer,15,15,"PEC, PL, PLP"
233,Luiza Erundina,15,15,"PEC, PL, PLP, PRC"
234,Felipe Becari,15,15,"PEC, PL"
235,Icaro de Valmir,14,14,"PEC, PL"
236,Pastor Diniz,14,14,"PEC, PL"
237,Gisela Simona,14,14,"PEC, PL, PRC"
238,Delegado Matheus Laiola,14,14,"PEC, PL, PRC"
239,Alencar Santana,14,14,"PEC, PL, PLP, PRC"
240,Ossesio Silva,14,14,"PEC, PL"
241,Orlando Silva,14,14,"PEC, PL"
242,Carlos Henrique Gaguim,14,14,"PEC, PL"
243,Delegado Palumbo,14,14,"PEC, PL, PLP"
244,Jorge Goetten,14,14,"PEC, PL, PLP"
245,Airton Faleiro,14,14,"PEC, PL, PRC"
246,Felipe Carreras,14,14,"PEC, PL, PRC"
247,Pedro Lupion,14,14,"PEC, PL, PLP"
248,Luiz Carlos Motta,14,14,"PEC, PL"
249,Túlio Gadêlha,14,14,"PEC, PL"
250,Vitor Lippi,14,14,"PEC, PL"
251,Welter,14,14,"PEC, PL, PLP, PRC"
252,Robinson Faria,14,14,"PEC, PL"
253,Yandra Moura,14,14,"PEC, PL, PRC"
254,Lêda Borges,14,14,"PEC, PL, PLP"
255,Amaro Neto,14,14,"PEC, PL"
256,Daniel Freitas,14,14,"PEC, PL"
257,Patrus Ananias,14,14,"PEC, PL, PLP"
258,Rogério Correia,13,13,"PEC, PL, PLP"
259,Luiz Carlos Busato,13,13,"PEC, PL, PLP"
260,Nely Aquino,13,13,"PEC, PL"
261,Daniel Almeida,13,13,"PEC, PL"
262,Josenildo,13,13,"PEC, PL, PLP"
263,Gutemberg Reis,13,13,"PEC, PL, PLP"
264,Rodrigo Gambale,13,13,"PEC, PL"
265,Daniela do Waguinho,13,13,"PEC, PL, PRC"
266,Julio Lopes,13,13,"PEC, PL"
267,Vinicius Carvalho,13,13,"PEC, PL"
268,Helena Lima,13,13,"PEC, PL"
269,Waldemar Oliveira,13,13,"PEC, PL"
270,André Figueiredo,13,13,"PEC, PL"
271,Henderson Pinto,13,13,"PEC, PL"
272,Delegado da Cunha,13,13,"PEC, PL"
273,Cristiane Lopes,13,13,"PEC, PL"
274,Ismael,13,13,"PEC, PL, PLP"
275,Pauderney Avelino,13,13,"PEC, PL"
276,Florentino Neto,13,13,"PEC, PL"
277,Otto Alencar Filho,13,13,"PEC, PL"
278,Marussa Boldrin,13,13,"PEC, PL"
279,Osmar Terra,13,13,"PEC, PL, PLP"
280,Gilvan da Federal,13,13,"PEC, PL, PRC"
281,Pinheirinho,13,13,"PEC, PL, PRC"
282,Kiko Celeguim,12,12,"PEC, PL"
283,Jilmar Tatto,12,12,"PEC, PL, PRC"
284,Doutor Luizinho,12,12,"PEC, PL, PLP"
285,Euclydes Pettersen,12,12,"PEC, PL"
286,Luciano Ducci,12,12,"PEC, PL, PRC"
287,Ribamar Silva,12,12,"PEC, PL"
288,Eli Borges,12,12,"PEC, PL, PRC"
289,Luiz Nishimori,12,12,"PEC, PL, PLP"
290,Ana Pimentel,12,12,"PEC, PL"
291,Maria Arraes,12,12,"PEC, PL, PRC"
292,Márcio Honaiser,12,12,"PEC, PL, PRC"
293,Marcelo Queiroz,12,12,"PEC, PL"
294,Mersinho Lucena,12,12,"PEC, PL"
295,Rafael Simoes,12,12,"PEC, PL"
296,Professor Alcides,12,12,"PEC, PL"
297,Pastor Eurico,12,12,"PEC, PL, PLP"
298,Julio Arcoverde,12,12,"PEC, PL"
299,Meire Serafim,12,12,"PEC, PL, PLP"
300,Jack Rocha,12,12,"PEC, PL, PLP"
301,Celso Russomanno,12,12,"PEC, PL"
302,Soraya Santos,12,12,"PEC, PL"
303,Beto Pereira,12,12,"PEC, PL"
304,Luiz Fernando Vampiro,12,12,"PEC, PL, PLP"
305,Domingos Sávio,12,12,"PEC, PL, PRC"
306,Afonso Hamm,12,12,"PEC, PL, PLP"
307,Andreia Siqueira,12,12,"PEC, PL"
308,Ruy Carneiro,12,12,"PEC, PL, PRC"
309,Marcon,11,11,"PEC, PL"
310,Afonso Motta,11,11,"PEC, PL"
311,Alice Portugal,11,11,"PEC, PL"
312,Augusto Coutinho,11,11,"PEC, PL"
313,Dr. Luiz Ovando,11,11,"PEC, PL, PLP"
314,Dra. Alessandra Haber,11,11,"PEC, PL"
315,Fausto Jr.,11,11,"PEC, PL, PLP, PRC"
316,Gabriel Nunes,11,11,"PEC, PL"
317,Ivoneide Caetano,11,11,"PEC, PL"
318,Jorge Solla,11,11,"PEC, PL"
319,Lídice da Mata,11,11,"PEC, PL, PRC"
320,Mauricio Neves,11,11,"PEC, PL"
321,Paulo Litro,11,11,"PEC, PL, PRC"
322,Reginaldo Lopes,11,11,"PEC, PL"
323,Silvia Cristina,11,11,"PEC, PL"
324,Tadeu Veneri,11,11,"PEC, PL, PLP"
325,Thiago de Joaldo,11,11,"PEC, PL, PLP"
326,Zé Haroldo Cathedral,11,11,"PEC, PL"
327,Katia Dias,11,11,"PEC, PL"
328,Luizianne Lins,10,10,"PEC, PL, PLP"
329,Murillo Gouvea,10,10,"PEC, PL"
330,Juarez Costa,10,10,"PEC, PL, PLP"
331,Gilvan Maximo,10,10,"PEC, PL"
332,Coronel Tadeu,10,10,"PL, PLP"
333,Ana Paula Leão,10,10,"PEC, PL"
334,Marcelo Moraes,10,10,"PEC, PL"
335,Stefano Aguiar,10,10,"PEC, PL"
336,Simone Marquetto,10,10,"PEC, PL, PLP"
337,Carol Dartora,10,10,"PEC, PL, PLP"
338,Maria Rosas,10,10,"PEC, PL, PLP"
339,Danilo Forte,10,10,"PEC, PL"
340,Delegada Katarina,10,10,"PEC, PL, PLP, PRC"
341,Dimas Fabiano,10,10,"PEC, PL"
342,Eriberto Medeiros,10,10,"PEC, PL, PRC"
343,Felipe Francischini,10,10,"PEC, PL, PRC"
344,Fred Costa,10,10,"PEC, PL"
345,Geraldo Mendes,10,10,"PEC, PL, PRC"
346,Pedro Lucas Fernandes,10,10,"PEC, PL, PRC"
347,Paulinho da Força,10,10,"PEC, PL"
348,Glauber Braga,10,10,"PEC, PL, PLP, PRC"
349,Neto Carletto,10,10,"PEC, PL, PRC"
350,Jadyel Alencar,9,9,"PEC, PL"
351,Marcos Soares,9,9,"PEC, PL, PRC"
352,Mauro Benevides Filho,9,9,"PEC, PL, PLP"
353,Mendonça Filho,9,9,"PEC, PL, PRC"
354,Jandira Feghali,9,9,"PEC, PL"
355,Iza Arruda,9,9,"PEC, PL"
356,Pedro Uczai,9,9,"PEC, PL"
357,Filipe Barros,9,9,"PEC, PL, PLP"
358,Fernando Mineiro,9,9,"PEC, PL, PLP"
359,Ricardo Abrão,9,9,"PEC, PL"
360,Ricardo Guidi,9,9,"PEC, PL"
361,Dr. Francisco,9,9,"PEC, PL"
362,Daniel Trzeciak,9,9,"PEC, PL"
363,Daiana Santos,9,9,"PEC, PL"
364,Sergio Souza,9,9,"PEC, PL"
365,Carlos Zarattini,9,9,"PEC, PL, PLP"
366,Carla Zambelli,9,9,"PEC, PL"
367,Bruno Farias,9,9,"PEC, PL"
368,Waldenor Pereira,9,9,"PEC, PL, PLP"
369,Weliton Prado,9,9,"PEC, PL"
370,Wilson Santiago,9,9,"PEC, PL"
371,Albuquerque,9,9,"PEC, PL"
372,Dr. Victor Linhalis,8,8,"PEC, PL"
373,Joseildo Ramos,8,8,"PEC, PL"
374,Zé Silva,8,8,"PEC, PL"
375,Emanuel Pinheiro Neto,8,8,"PEC, PL, PLP"
376,Zeca Dirceu,8,8,"PEC, PL"
377,Valmir Assunção,8,8,"PEC, PL, PLP"
378,Félix Mendonça Júnior,8,8,"PEC, PL"
379,Júlio Cesar,8,8,"PEC, PL, PRC"
380,Miguel Lombardi,8,8,"PEC, PL"
381,Luciano Vieira,8,8,"PEC, PL"
382,Geovania de Sá,8,8,"PEC, PL"
383,Acácio Favacho,8,8,"PEC, PL, PRC"
384,Daniel Barbosa,8,8,"PEC, PL"
385,João Maia,8,8,"PEC, PL"
386,Márcio Jerry,8,8,"PEC, PL, PLP, PRC"
387,Dilceu Sperafico,8,8,"PEC, PL"
388,Paulão,8,8,"PEC, PL, PLP, PRC"
389,Douglas Viegas,8,8,"PEC, PL"
390,Natália Bonavides,8,8,"PEC, PL"
391,Dr. Frederico,8,8,"PEC, PL"
392,Paulo Azi,8,8,"PEC, PL, PRC"
393,Isnaldo Bulhões Jr.,8,8,"PEC, PL, PLP"
394,Carlos Veras,8,8,"PEC, PL"
395,Paulo Freire Costa,7,7,"PEC, PL"
396,Carlos Sampaio,7,7,"PEC, PL"
397,Vicentinho,7,7,"PEC, PL"
398,Luciano Amaral,7,7,"PEC, PL"
399,Vander Loubet,7,7,"PEC, PL"
400,Baleia Rossi,7,7,"PEC, PL"
401,Átila Lira,7,7,"PEC, PL"
402,Paulo Abi-Ackel,7,7,"PEC, PL"
403,Paulo Folletto,7,7,"PEC, PL, PRC"
404,Professora Goreth,7,7,"PEC, PL"
405,Giacobo,7,7,"PEC, PL"
406,Miguel Ângelo,7,7,"PEC, PL"
407,Fernando Monteiro,7,7,"PEC, PL"
408,Zezinho Barbary,7,7,"PEC, PL"
409,Leonardo Monteiro,7,7,"PEC, PL"
410,Rafael Fera,7,7,"PEC, PL"
411,Raimundo Costa,7,7,"PEC, PL"
412,Altineu Côrtes,7,7,"PEC"
413,Marco Brasil,7,7,"PEC, PL"
414,João Carlos Bacelar,7,7,"PEC, PL"
415,Emidinho Madeira,7,7,"PEC, PL"
416,Renildo Calheiros,7,7,"PEC, PL"
417,Zé Adriano,7,7,"PEC, PL"
418,Elcione Barbalho,7,7,"PEC"
419,Adolfo Viana,7,7,"PEC, PL"
420,Dilvanda Faro,7,7,"PEC, PL, PLP"
421,Wellington Roberto,7,7,"PEC, PL"
422,Rodrigo Estacho,7,7,"PEC, PL"
423,Rodrigo Rollemberg,7,7,"PEC, PL, PLP"
424,Odair Cunha,7,7,"PEC, PL"
425,Rubens Otoni,7,7,"PEC, PL"
426,Coronel Armando,7,7,"PEC, PL"
427,Damião Feliciano,7,7,"PEC"
428,Covatti Filho,7,7,"PEC, PL"
429,André Ferreira,6,6,"PEC"
430,Newton Cardoso Jr,6,6,"PEC, PL"
431,Diego Coronel,6,6,"PEC, PL"
432,Josivaldo JP,6,6,"PEC, PL, PLP"
433,Gervásio Maia,6,6,"PEC, PL, PRC"
434,Moses Rodrigues,6,6,"PEC"
435,Josias Gomes,6,6,"PEC, PL"
436,Castro Neto,6,6,"PEC, PL"
437,Fatima Pelaes,6,6,"PEC, PL"
438,Gilberto Nascimento,6,6,"PEC, PL, PLP, PRC"
439,Missionário José Olimpio,6,6,"PEC, PL"
440,Magda Mofatto,6,6,"PEC, PL"
441,Lucas Ramos,6,6,"PEC, PL, PRC"
442,Paulo Pimenta,6,6,"PEC, PL"
443,Arlindo Chinaglia,6,6,"PEC, PL, PLP"
444,Samuel Santos,6,6,"PL"
445,Eduardo Bolsonaro,6,6,"PEC, PL"
446,Marcio Alvino,6,6,"PEC, PL, PLP"
447,Paulo Guedes,6,6,"PEC, PL, PLP"
448,Paulo Alexandre Barbosa,6,6,"PEC, PL"
449,Júnior Ferrari,6,6,"PEC, PL"
450,Sonize Barbosa,6,6,"PEC, PL"
451,Bohn Gass,6,6,"PEC, PL"
452,Ricardo Maia,5,5,"PEC, PL, PLP"
453,Lenir de Assis,5,5,"PEC, PL"
454,Rui Falcão,5,5,"PEC, PL"
455,Guilherme Uchoa,5,5,"PEC, PL, PRC"
456,José Priante,5,5,"PEC, PL"
457,Jeferson Rodrigues,5,5,"PEC, PL"
458,Antonio Brito,5,5,"PEC, PL"
459,Mário Negromonte Jr.,5,5,"PEC, PL"
460,Arthur Oliveira Maia,5,5,"PEC"
461,Luciano Alves,5,5,"PEC, PL"
462,Arnaldo Jardim,5,5,"PEC, PL, PLP"
463,Junior Lourenço,5,5,"PEC, PL"
464,João Cury,5,5,"PEC, PL"
465,Marreca Filho,5,5,"PEC, PL, PLP"
466,Diego Andrade,5,5,"PEC, PL, PRC"
467,Olival Marques,4,4,"PEC"
468,Luis Carlos Gomes,4,4,"PEC, PL"
469,Paulo Magalhães,4,4,"PEC, PL"
470,Eunício Oliveira,4,4,"PEC, PL"
471,Ivan Junior,4,4,"PEC, PL"
472,Danrlei de Deus Hinterholz,4,4,"PEC, PL"
473,Leur Lomanto Júnior,4,4,"PEC, PL"
474,Dani Cunha,4,4,"PEC, PL"
475,Samuel Viana,4,4,"PEC, PL"
476,Claudio Cajado,4,4,"PEC"
477,Cezinha de Madureira,4,4,"PEC, PL"
478,Aline Gurgel,4,4,"PL"
479,Lebrão,4,4,"PEC, PL"
480,Átila Lins,4,4,"PEC"
481,Luciano Bivar,4,4,"PEC, PL"
482,Aliel Machado,4,4,"PEC, PL"
483,Misael Varella,4,4,"PEC"
484,José Rocha,4,4,"PEC"
485,Carlos Chiodini,3,3,"PEC, PL"
486,Caio Vianna,3,3,"PEC, PL"
487,Dal Barreto,3,3,"PEC, PL"
488,Vinicius Gurgel,3,3,"PEC"
489,Detinha,3,3,"PEC, PL"
490,Rodrigo de Castro,3,3,"PEC"
491,Robério Monteiro,3,3,"PEC"
492,Amanda Gentil,3,3,"PEC, PL"
493,Elmar Nascimento,3,3,"PEC"
494,Fábio Macedo,3,3,"PEC, PL"
495,Jorge Braz,3,3,"PEC"
496,Márcio Biolchi,3,3,"PEC, PL"
497,AJ Albuquerque,3,3,"PEC"
498,Adriano do Baldy,3,3,"PL"
499,Josimar Maranhãozinho,3,3,"PEC, PL"
500,Juscelino Filho,3,3,"PL, PLP"
501,Glaustin da Fokus,3,3,"PEC, PL"
502,Igor Timo,3,3,"PEC"
503,Arthur Lira,3,3,"PEC, PL"
504,Gustinho Ribeiro,2,2,"PEC"
505,Hercílio Coelho Diniz,2,2,"PEC"
506,Fernando Coelho Filho,2,2,"PEC, PRC"
507,Gleisi Hoffmann,2,2,"PEC, PLP"
508,João Leão,2,2,"PEC"
509,Tiago Dimas,2,2,"PEC, PL"
510,Luiz Fernando Faria,2,2,"PEC"
511,Leônidas Cristino,2,2,"PEC"
512,Antonio Andrade,2,2,"PEC, PL"
513,Aécio Neves,2,2,"PEC"
