Posição,Deputado,Qtd Emendas,Valor Total,Valor Médio,Maior Emenda,Menor Emenda
1,Jorge Braz,19,84296498.70,4436657.826315789474,19788182.00,8689.56
2,Alex Manente,6,69713114.00,11618852.333333333333,16030221.00,4000000.00
3,Joseildo Ramos,6,69440054.00,11573342.333333333333,18435792.00,1629209.00
4,Alex Santana,11,67974983.00,6179543.909090909091,18935793.00,200000.00
5,Fabio Schiochet,8,67450345.00,8431293.125000000000,18935792.00,220.00
6,Rubens Otoni,10,66834045.00,6683404.500000000000,15811308.00,20.00
7,Marcos Pereira,15,65655307.00,4377020.466666666667,16635792.00,200.00
8,Alencar Santana,38,63574753.06,1673019.817368421053,9923029.00,100000.00
9,Waldenor Pereira,18,61720160.50,3428897.805555555556,14000000.00,20.00
10,Beto Pereira,11,57184825.00,5198620.454545454545,16051698.00,348600.00
11,Julio Cesar Ribeiro,50,40963481.55,819269.631000000000,8424721.00,10.00
12,AJ Albuquerque,3,37871585.00,12623861.666666666667,18935792.00,7574317.00
13,Carla Zambelli,6,37720833.92,6286805.653333333333,18000000.00,299928.17
14,Fred Costa,9,36582169.09,4064685.454444444444,13922832.00,3637.09
15,Dr. Frederico,16,36083470.63,2255216.914375000000,13089792.00,8628.00
