Posição,Deputado,Qtd Emendas,Valor Total,Valor Médio,Maior Emenda,Menor Emenda
1,Vinicius Gurgel,14,28322806.56,2023057.611428571429,6539985.34,397.00
2,Julio Cesar Ribeiro,36,23607423.23,655761.756388888889,7139993.00,10.00
3,Jefferson Campos,19,16278732.00,856775.368421052632,3589986.00,19791.00
4,Eli Borges,23,16177921.00,703387.869565217391,6100000.00,50000.00
5,Daniel Agrobom,5,15889981.00,3177996.200000000000,7700000.00,199995.00
6,Sanderson,19,13919491.60,732604.821052631579,4631105.00,135.00
7,Fernanda Melchionna,22,11788694.49,535849.749545454545,1500000.00,15.00
8,Paulo Abi-Ackel,16,7943815.00,496488.437500000000,3115000.00,10.00
