Posição,Deputado,Qtd Emendas,Valor Total,Valor Médio,Maior Emenda,Menor Emenda
1,Luizianne Lins,13,18401359.72,1415489.209230769231,9344198.00,30000.00
2,Julio Cesar Ribeiro,14,17356058.32,1239718.451428571429,8424721.00,33278.12
3,Professor Alcides,11,17331389.20,1575580.836363636364,6799682.00,15.00
4,Orlando Silva,14,16896072.00,1206862.285714285714,3367871.00,10675.00
5,Alceu Moreira,10,16663133.91,1666313.391000000000,6519682.00,50.00
6,Coronel Assis,7,14038169.00,2005452.714285714286,4660463.00,260.00
7,Juninho do Pneu,20,13701343.52,685067.176000000000,7406315.00,10.00
