Posicao,Nome,UF,Total_Proposicoes,Total_Autorias,Tipos_Proposicoes
108,Erika Hilton,,23,23,"PEC, PL, PLP, PRC"
109,Enfermeira Rejane,,23,23,"PEC, PL"
110,Marangoni,,23,23,"PEC, PL, PLP, PRC"
111,Erika Kokay,,23,23,"PEC, PL, PLP"
112,Bia Kicis,,23,23,"PEC, PL, PRC"
113,Flávia Morais,,23,23,"PEC, PL, PLP"
114,Chico Alencar,,23,23,"PEC, PL, PLP, PRC"
115,Alceu Moreira,,23,23,"PEC, PL, PLP"
116,Rodrigo da Zaeli,,23,23,"PEC, PL, PLP"
117,Luiz Couto,,23,23,"PEC, PL"
118,General Pazuello,,23,23,"PEC, PL"
119,Alfredo Gaspar,,23,23,"PEC, PL, PRC"
120,Prof. Reginaldo Veras,,23,23,"PEC, PL"
121,Eduardo Velloso,,22,22,"PEC, PL"
122,Coronel Fernanda,,22,22,"PEC, PL, PLP"
123,Delegado Fabio Costa,,22,22,"PEC, PL"
124,Fabio Schiochet,,22,22,"PEC, PL"
125,Mario Frias,,22,22,"PEC, PL, PLP"
126,Maria do Rosário,,22,22,"PEC, PL, PLP"
127,Renilce Nicodemos,,22,22,"PEC, PL"
128,Caroline de Toni,,22,22,"PEC, PL, PLP, PRC"
129,Sâmia Bomfim,,22,22,"PEC, PL, PLP, PRC"
130,Alexandre Guimarães,,21,21,"PEC, PL, PLP"
131,Any Ortiz,,21,21,"PEC, PL, PLP"
132,Rafael Prudente,,21,21,"PEC, PL"
133,Fábio Teruel,,21,21,"PEC, PL"
134,Thiago Flores,,21,21,"PEC, PL, PLP"
135,Coronel Chrisóstomo,,21,21,"PEC, PL"
136,Silvia Waiãpi,,21,21,"PEC, PL, PLP"
137,Allan Garcês,,21,21,"PEC, PL"
138,Alex Manente,,21,21,"PEC, PL"
139,Domingos Neto,,20,20,"PEC, PL, PLP"
140,Joaquim Passarinho,,20,20,"PEC, PL, PRC"
141,Reinhold Stephanes,,20,20,"PEC, PL"
142,Vicentinho Júnior,,20,20,"PEC, PL, PRC"
143,Silas Câmara,,20,20,"PEC, PL"
144,Guilherme Boulos,,20,20,"PEC, PL, PLP, PRC"
145,Delegada Ione,,20,20,"PEC, PL"
146,Mauricio do Vôlei,,20,20,"PEC, PL, PLP"
147,Zé Neto,,20,20,"PEC, PL"
148,Franciane Bayer,,20,20,"PEC, PL, PLP"
149,Fernanda Pessoa,,20,20,"PEC, PL, PRC"
150,Juninho do Pneu,,20,20,"PEC, PL"
151,Julio Cesar Ribeiro,,20,20,"PEC, PL"
152,Padovani,,20,20,"PEC, PL, PRC"
153,Benes Leocádio,,20,20,"PEC, PL"
154,Cleber Verde,,20,20,"PEC, PL"
155,David Soares,,20,20,"PEC, PL, PRC"
156,Da Vitoria,,20,20,"PEC, PL, PLP"
157,Antonio Carlos Rodrigues,,20,20,"PEC, PL, PLP"
158,Dimas Gadelha,,20,20,"PEC, PL"
159,Pr. Marco Feliciano,,19,19,"PEC, PL"
160,Aluisio Mendes,,19,19,"PEC, PL, PLP"
161,Ana Paula Lima,,19,19,"PEC, PL, PLP"
162,Tarcísio Motta,,19,19,"PEC, PL, PRC"
163,Clarissa Tércio,,19,19,"PEC, PL"
164,Rosângela Reis,,19,19,"PEC, PL, PLP"
165,Rosana Valle,,19,19,"PEC, PL, PLP"
166,Delegado Marcelo Freitas,,19,19,"PEC, PL, PRC"
167,Ely Santos,,19,19,"PEC, PL"
168,Fausto Pinato,,19,19,"PEC, PL, PLP"
169,Greyce Elias,,19,19,"PEC, PL"
170,Pastor Sargento Isidório,,19,19,"PEC, PL"
171,Helder Salomão,,19,19,"PEC, PL, PLP"
172,José Airton Félix Cirilo,,19,19,"PEC, PL, PRC"
173,Merlong Solano,,19,19,"PEC, PL"
174,Marcelo Álvaro Antônio,,19,19,"PEC, PL"
175,Filipe Martins,,18,18,"PEC, PL"
176,Ronaldo Nogueira,,18,18,"PEC, PL, PLP"
177,Dr. Ismael Alexandrino,,18,18,"PEC, PL"
178,Vermelho,,18,18,"PEC, PL"
179,Socorro Neri,,18,18,"PEC, PL, PLP, PRC"
180,Juliana Cardoso,,18,18,"PEC, PL, PLP"
181,Yury do Paredão,,18,18,"PEC, PL"
182,Gilberto Abramo,,18,18,"PEC, PL, PRC"
183,Mário Heringer,,18,18,"PEC, PL, PRC"
184,Daniel Agrobom,,18,18,"PEC, PL"
185,Delegado Ramagem,,18,18,"PEC, PL"
186,Júnior Mano,,17,17,"PEC, PL, PRC"
187,Padre João,,17,17,"PEC, PL, PLP, PRC"
188,Tião Medeiros,,17,17,"PEC, PL, PLP"
189,Fernando Rodolfo,,17,17,"PEC, PL"
190,Augusto Puppio,,17,17,"PEC, PL, PRC"
191,Dandara,,17,17,"PEC, PL, PLP"
192,Pedro Paulo,,17,17,"PEC, PL"
193,Dr. Jaziel,,17,17,"PEC, PL, PLP"
194,Pedro Campos,,17,17,"PEC, PL, PRC"
195,Dagoberto Nogueira,,17,17,"PEC, PL"
196,Zé Vitor,,17,17,"PEC, PL, PLP"
197,Antônia Lúcia,,17,17,"PEC, PL, PRC"
198,Diego Garcia,,16,16,"PEC, PL"
199,Beto Richa,,16,16,"PEC, PL, PLP"
200,Luisa Canziani,,16,16,"PEC, PL"
201,Alex Santana,,16,16,"PEC, PL, PLP, PRC"
202,Saulo Pedroso,,16,16,"PEC, PL"
203,Nikolas Ferreira,,16,16,"PEC, PL"
204,Toninho Wandscheer,,16,16,"PEC, PL, PLP"
205,Bebeto,,16,16,"PEC, PL"
206,Roberto Monteiro Pai,,16,16,"PEC, PL"
207,Lucas Redecker,,16,16,"PEC, PL, PLP"
208,Otoni de Paula,,16,16,"PEC, PL"
209,Heitor Schuch,,16,16,"PEC, PL, PLP, PRC"
210,Lindbergh Farias,,16,16,"PEC, PL"
211,Lula da Fonte,,16,16,"PEC, PL"
212,Adail Filho,,16,16,"PEC, PL, PLP"
213,Flávio Nogueira,,16,16,"PEC, PL, PLP"
214,Eros Biondini,,15,15,"PEC, PL, PLP"
215,Bandeira de Mello,,15,15,"PEC, PL, PRC"
216,Jefferson Campos,,15,15,"PEC, PL"
217,Lincoln Portela,,15,15,"PEC, PL"
218,Hugo Leal,,15,15,"PEC, PL, PLP"
219,Felipe Becari,,15,15,"PEC, PL"
220,Pedro Westphalen,,15,15,"PEC, PL"
221,Luiz Gastão,,15,15,"PEC, PL, PLP, PRC"
222,Geraldo Resende,,15,15,"PEC, PL, PLP, PRC"
223,José Nelto,,15,15,"PEC, PL"
224,Bacelar,,15,15,"PEC, PL, PLP"
225,Alexandre Lindenmeyer,,15,15,"PEC, PL, PLP"
226,Charles Fernandes,,15,15,"PEC, PL, PLP"
227,Alfredinho,,15,15,"PEC, PL"
228,Luiza Erundina,,15,15,"PEC, PL, PLP, PRC"
229,Márcio Marinho,,15,15,"PEC, PL"
230,Enfermeira Ana Paula,,15,15,"PEC, PL"
231,Célio Silveira,,15,15,"PEC, PL"
232,Benedita da Silva,,15,15,"PEC, PL, PLP"
233,Ivan Valente,,15,15,"PEC, PL, PRC"
234,Pedro Lupion,,14,14,"PEC, PL, PLP"
235,Robinson Faria,,14,14,"PEC, PL"
236,Felipe Carreras,,14,14,"PEC, PL, PRC"
237,Delegado Palumbo,,14,14,"PEC, PL, PLP"
238,Delegado Matheus Laiola,,14,14,"PEC, PL, PRC"
239,Daniel Freitas,,14,14,"PEC, PL"
240,Airton Faleiro,,14,14,"PEC, PL, PRC"
241,Gisela Simona,,14,14,"PEC, PL, PRC"
242,Patrus Ananias,,14,14,"PEC, PL, PLP"
243,Luiz Carlos Motta,,14,14,"PEC, PL"
244,Carlos Henrique Gaguim,,14,14,"PEC, PL"
245,Icaro de Valmir,,14,14,"PEC, PL"
246,Pastor Diniz,,14,14,"PEC, PL"
247,Ossesio Silva,,14,14,"PEC, PL"
248,Orlando Silva,,14,14,"PEC, PL"
249,Jorge Goetten,,14,14,"PEC, PL, PLP"
250,Túlio Gadêlha,,14,14,"PEC, PL"
251,Vitor Lippi,,14,14,"PEC, PL"
252,Welter,,14,14,"PEC, PL, PLP, PRC"
253,Yandra Moura,,14,14,"PEC, PL, PRC"
254,Amaro Neto,,14,14,"PEC, PL"
255,Lafayette de Andrada,,14,14,"PEC, PL"
256,Lêda Borges,,14,14,"PEC, PL, PLP"
257,Alencar Santana,,14,14,"PEC, PL, PLP, PRC"
258,Gutemberg Reis,,13,13,"PEC, PL, PLP"
259,Vinicius Carvalho,,13,13,"PEC, PL"
260,Nely Aquino,,13,13,"PEC, PL"
261,Rogério Correia,,13,13,"PEC, PL, PLP"
262,Josenildo,,13,13,"PEC, PL, PLP"
263,Henderson Pinto,,13,13,"PEC, PL"
264,Helena Lima,,13,13,"PEC, PL"
265,André Figueiredo,,13,13,"PEC, PL"
266,Julio Lopes,,13,13,"PEC, PL"
267,Gilvan da Federal,,13,13,"PEC, PL, PRC"
268,Cristiane Lopes,,13,13,"PEC, PL"
269,Rodrigo Gambale,,13,13,"PEC, PL"
270,Pauderney Avelino,,13,13,"PEC, PL"
271,Marussa Boldrin,,13,13,"PEC, PL"
272,Daniel Almeida,,13,13,"PEC, PL"
273,Florentino Neto,,13,13,"PEC, PL"
274,Daniela do Waguinho,,13,13,"PEC, PL, PRC"
275,Delegado da Cunha,,13,13,"PEC, PL"
276,Osmar Terra,,13,13,"PEC, PL, PLP"
277,Otto Alencar Filho,,13,13,"PEC, PL"
278,Ismael,,13,13,"PEC, PL, PLP"
279,Luiz Carlos Busato,,13,13,"PEC, PL, PLP"
280,Celso Russomanno,,12,12,"PEC, PL"
281,Jack Rocha,,12,12,"PEC, PL, PLP"
282,Kiko Celeguim,,12,12,"PEC, PL"
283,Pinheirinho,,12,12,"PEC, PL, PRC"
284,Maria Arraes,,12,12,"PEC, PL, PRC"
285,Beto Pereira,,12,12,"PEC, PL"
286,Soraya Santos,,12,12,"PEC, PL"
287,Domingos Sávio,,12,12,"PEC, PL, PRC"
288,Luiz Fernando Vampiro,,12,12,"PEC, PL, PLP"
289,Waldemar Oliveira,,12,12,"PEC, PL"
290,Euclydes Pettersen,,12,12,"PEC, PL"
291,Ruy Carneiro,,12,12,"PEC, PL, PRC"
292,Mersinho Lucena,,12,12,"PEC, PL"
293,Jilmar Tatto,,12,12,"PEC, PL, PRC"
294,Meire Serafim,,12,12,"PEC, PL, PLP"
295,Andreia Siqueira,,12,12,"PEC, PL"
296,Pastor Eurico,,12,12,"PEC, PL, PLP"
297,Julio Arcoverde,,12,12,"PEC, PL"
298,Ribamar Silva,,12,12,"PEC, PL"
299,Professor Alcides,,12,12,"PEC, PL"
300,Luiz Nishimori,,12,12,"PEC, PL, PLP"
301,Eli Borges,,12,12,"PEC, PL, PRC"
302,Marcelo Queiroz,,12,12,"PEC, PL"
303,Márcio Honaiser,,12,12,"PEC, PL, PRC"
304,Afonso Hamm,,12,12,"PEC, PL, PLP"
305,Luciano Ducci,,12,12,"PEC, PL, PRC"
306,Marcon,,11,11,"PEC, PL"
307,Afonso Motta,,11,11,"PEC, PL"
308,Alice Portugal,,11,11,"PEC, PL"
309,Ana Pimentel,,11,11,"PEC, PL"
310,Augusto Coutinho,,11,11,"PEC, PL"
311,Doutor Luizinho,,11,11,"PEC, PL, PLP"
312,Dr. Luiz Ovando,,11,11,"PEC, PL, PLP"
313,Dra. Alessandra Haber,,11,11,"PEC, PL"
314,Fausto Jr.,,11,11,"PEC, PL, PLP, PRC"
315,Gabriel Nunes,,11,11,"PEC, PL"
316,Ivoneide Caetano,,11,11,"PEC, PL"
317,Jorge Solla,,11,11,"PEC, PL"
318,Lídice da Mata,,11,11,"PEC, PL, PRC"
319,Mauricio Neves,,11,11,"PEC, PL"
320,Paulo Litro,,11,11,"PEC, PL, PRC"
321,Reginaldo Lopes,,11,11,"PEC, PL"
322,Silvia Cristina,,11,11,"PEC, PL"
323,Tadeu Veneri,,11,11,"PEC, PL, PLP"
324,Thiago de Joaldo,,11,11,"PEC, PL, PLP"
325,Zé Haroldo Cathedral,,11,11,"PEC, PL"
326,Katia Dias,,11,11,"PEC, PL"
327,Ana Paula Leão,,10,10,"PEC, PL"
328,Rafael Simoes,,10,10,"PEC, PL"
329,Luizianne Lins,,10,10,"PEC, PL, PLP"
330,Juarez Costa,,10,10,"PEC, PL, PLP"
331,Fred Costa,,10,10,"PEC, PL"
332,Marcelo Moraes,,10,10,"PEC, PL"
333,Eriberto Medeiros,,10,10,"PEC, PL, PRC"
334,Carol Dartora,,10,10,"PEC, PL, PLP"
335,Dimas Fabiano,,10,10,"PEC, PL"
336,Geraldo Mendes,,10,10,"PEC, PL, PRC"
337,Delegada Katarina,,10,10,"PEC, PL, PLP, PRC"
338,Pedro Lucas Fernandes,,10,10,"PEC, PL, PRC"
339,Maria Rosas,,10,10,"PEC, PL, PLP"
340,Gilvan Maximo,,10,10,"PEC, PL"
341,Coronel Tadeu,,10,10,"PL, PLP"
342,Danilo Forte,,10,10,"PEC, PL"
343,Paulinho da Força,,10,10,"PEC, PL"
344,Glauber Braga,,10,10,"PEC, PL, PLP, PRC"
345,Simone Marquetto,,10,10,"PEC, PL, PLP"
346,Stefano Aguiar,,10,10,"PEC, PL"
347,Neto Carletto,,10,10,"PEC, PL, PRC"
348,Murillo Gouvea,,10,10,"PEC, PL"
349,Pedro Uczai,,9,9,"PEC, PL"
350,Daniel Trzeciak,,9,9,"PEC, PL"
351,Dr. Francisco,,9,9,"PEC, PL"
352,Albuquerque,,9,9,"PEC, PL"
353,Mauro Benevides Filho,,9,9,"PEC, PL, PLP"
354,Mendonça Filho,,9,9,"PEC, PL, PRC"
355,Wilson Santiago,,9,9,"PEC, PL"
356,Weliton Prado,,9,9,"PEC, PL"
357,Waldenor Pereira,,9,9,"PEC, PL, PLP"
358,Jandira Feghali,,9,9,"PEC, PL"
359,Jadyel Alencar,,9,9,"PEC, PL"
360,Iza Arruda,,9,9,"PEC, PL"
361,Bruno Farias,,9,9,"PEC, PL"
362,Carla Zambelli,,9,9,"PEC, PL"
363,Marcos Soares,,9,9,"PEC, PL, PRC"
364,Carlos Zarattini,,9,9,"PEC, PL, PLP"
365,Ricardo Guidi,,9,9,"PEC, PL"
366,Filipe Barros,,9,9,"PEC, PL, PLP"
367,Fernando Mineiro,,9,9,"PEC, PL, PLP"
368,Sergio Souza,,9,9,"PEC, PL"
369,Felipe Francischini,,9,9,"PEC, PRC"
370,Daiana Santos,,9,9,"PEC, PL"
371,Ricardo Abrão,,9,9,"PEC, PL"
372,Zeca Dirceu,,8,8,"PEC, PL"
373,Dr. Victor Linhalis,,8,8,"PEC, PL"
374,Isnaldo Bulhões Jr.,,8,8,"PEC, PL, PLP"
375,Zé Silva,,8,8,"PEC, PL"
376,Carlos Veras,,8,8,"PEC, PL"
377,Valmir Assunção,,8,8,"PEC, PL, PLP"
378,Paulão,,8,8,"PEC, PL, PLP, PRC"
379,Paulo Azi,,8,8,"PEC, PL, PRC"
380,Luciano Vieira,,8,8,"PEC, PL"
381,Dilceu Sperafico,,8,8,"PEC, PL"
382,Douglas Viegas,,8,8,"PEC, PL"
383,Dr. Frederico,,8,8,"PEC, PL"
384,Emanuel Pinheiro Neto,,8,8,"PEC, PL, PLP"
385,Félix Mendonça Júnior,,8,8,"PEC, PL"
386,Daniel Barbosa,,8,8,"PEC, PL"
387,Acácio Favacho,,8,8,"PEC, PL, PRC"
388,Miguel Lombardi,,8,8,"PEC, PL"
389,Júlio Cesar,,8,8,"PEC, PL, PRC"
390,Márcio Jerry,,8,8,"PEC, PL, PLP, PRC"
391,Joseildo Ramos,,8,8,"PEC, PL"
392,Natália Bonavides,,8,8,"PEC, PL"
393,João Maia,,8,8,"PEC, PL"
394,Paulo Freire Costa,,7,7,"PEC, PL"
395,Zé Adriano,,7,7,"PEC, PL"
396,Professora Goreth,,7,7,"PEC, PL"
397,Leonardo Monteiro,,7,7,"PEC, PL"
398,Rodrigo Rollemberg,,7,7,"PEC, PL, PLP"
399,Giacobo,,7,7,"PEC, PL"
400,Wellington Roberto,,7,7,"PEC, PL"
401,Rodrigo Estacho,,7,7,"PEC, PL"
402,Dilvanda Faro,,7,7,"PEC, PL, PLP"
403,Geovania de Sá,,7,7,"PEC, PL"
404,Emidinho Madeira,,7,7,"PEC, PL"
405,Luciano Amaral,,7,7,"PEC, PL"
