Posicao,Nome,UF,Total_Proposicoes,Total_Autorias,Tipos_Proposicoes
507,Leônidas Cristino,,2,2,"PEC"
508,Aécio Neves,,2,2,"PEC"
509,Luiz Fernando Faria,,2,2,"PEC"
510,Fernando Coelho Filho,,2,2,"PEC, PRC"
511,Lázaro Botelho,,2,2,"PEC"
512,Hercílio Coelho Diniz,,2,2,"PEC"
513,Antonio Andrade,,2,2,"PEC, PL"
514,Gustinho Ribeiro,,2,2,"PEC"
515,Dr. Daniel Soranz,,2,2,"PL"
516,Gabriel Mota,,1,1,"PL"
517,Luis Tibé,,1,1,"PEC"
518,Matheus Noronha,,1,1,"PEC"
519,Pastor Claudio Mariano,,1,1,"PEC"
520,Keniston Braga,,1,1,"PEC"
521,Tiririca,,1,1,"PEC"
522,Ricardo Barros,,1,1,"PEC"
523,Alexandre Leite,,1,1,"PL"
524,Hugo Motta,,1,1,"PEC"
525,Fabio Reis,,1,1,"PL"
526,Marcos Aurélio Sampaio,,1,1,"PL"
527,Luiz Antonio Corrêa,,1,1,"PEC"
528,Antônio Doido,,1,1,"PEC"
529,André Janones,,1,1,"PEC"
