Posição,Deputado,Qtd Emendas,Valor Total,Valor Médio,Maior Emenda,Menor Emenda
1,AJ Albuquerque,3,37871585.00,12623861.666666666667,18935792.00,7574317.00
2,Alex Manente,4,37871585.00,9467896.250000000000,15000000.00,4000000.00
3,Carla Zambelli,6,37720833.92,6286805.653333333333,18000000.00,299928.17
4,Joseildo Ramos,3,37336653.00,12445551.000000000000,18435792.00,3000000.00
5,Fred Costa,9,36582169.09,4064685.454444444444,13922832.00,3637.09
6,Dr. Frederico,16,36083470.63,2255216.914375000000,13089792.00,8628.00
7,Luisa Canziani,6,35921585.00,5986930.833333333333,18805793.00,10000.00
8,Alex Santana,5,35871585.00,7174317.000000000000,18935793.00,500000.00
9,Fabio Schiochet,5,35346944.00,7069388.800000000000,18935792.00,220.00
10,Lucas Redecker,10,35113116.76,3511311.676000000000,15635791.00,4700.00
11,Rubens Otoni,7,34730645.00,4961520.714285714286,15500000.00,20.00
12,Marcos Pereira,4,33571785.00,8392946.250000000000,16635792.00,200.00
13,Helder Salomão,17,33555503.00,1973853.117647058824,10160000.00,150000.00
14,Bandeira de Mello,14,31864824.03,2276058.859285714286,7591585.00,7400.00
15,Alencar Santana,19,31572116.36,1661690.334736842105,9923029.00,100000.00
