id,nome,partido,uf,total_gastos,qtd_despesas,mes_referencia
220538,Albuquerque,REPUBLICANOS,RR,0.0,0,9/2025
226708,Allan Garcês,PP,MA,3103.07,11,9/2025
220542,Alexandre Guimarães,MDB,TO,4442.75,10,9/2025
220707,Amanda Gentil,PP,MA,0.0,0,9/2025
74646,Aécio Neves,PSDB,MG,5869.84,13,9/2025
204379,Acácio Favacho,MDB,AP,0.0,0,9/2025
204356,Amaro Neto,REPUBLICANOS,ES,974.76,5,9/2025
220554,Alexandre Lindenmeyer,PT,RS,7931.2300000000005,93,9/2025
